Address,Price,Size,Room Count
"Straßburger Straße 40, Spandau (Ortsteil), Berlin","2.046,87 €","107,73 m²","<span class=""onlyLarge"">3</span>"
"Sensburger Allee 25, Westend, Berlin",750 €,66 m²,"<span class=""onlyLarge"">2</span>"
"Kaiserstraße 4, Lichterfelde, Berlin",1.511 €,"95,94 m²","<span class=""onlyLarge"">3</span>"
"Schöneberg, Berlin",2.100 €,100 m²,"<span class=""onlyLarge"">3</span>"
"Emser Straße 37, Wilmersdorf, Berlin",6.200 €,"153,81 m²","<span class=""onlyLarge"">5</span>"
"Lehmbruckstr 19, Friedrichshain, Berlin",1.900 €,76 m²,"<span class=""onlyLarge"">3</span>"
"Müggelseedamm 270, Friedrichshagen, Berlin","8.274,60 €","275,82 m²","<span class=""onlyLarge"">8</span>"
"Mühlenstraße 20, Friedrichshain, Berlin",2.150 €,72 m²,"<span class=""onlyLarge"">3</span>"
"Schadowstraße 3, Mitte (Ortsteil), Berlin",2.197 €,85 m²,"<span class=""onlyLarge"">2</span>"
"Charlottenburg, Berlin",2.000 €,78 m²,"<span class=""onlyLarge"">3</span>"
"Mitte (Ortsteil), Berlin","2.521,87 €","132,73 m²","<span class=""onlyLarge"">3</span>"
"Chausseestraße 122, Mitte (Ortsteil), Berlin",2.100 €,70 m²,"<span class=""onlyLarge"">2</span>"
"Prenzlauer Berg, Berlin",1.580 €,"89,5 m²","<span class=""onlyLarge"">3</span>"
"Rummelsburg, Berlin",2.300 €,"114,5 m²","<span class=""onlyLarge"">4</span>"
"Wendenschloßstr. 252, Köpenick, Berlin","1.584,69 €","94,53 m²","<span class=""onlyLarge"">4</span>"
"Wendenschloßstr. 254, Köpenick, Berlin","1.958,81 €","120,93 m²","<span class=""onlyLarge"">5</span>"
"Wendenschloßstr. 254, Köpenick, Berlin","1.587,65 €","94,9 m²","<span class=""onlyLarge"">4</span>"
"Prenzlauer Berg, Berlin",1.750 €,40 m²,"<span class=""onlyLarge"">1</span>"
"Reulestraße 14, Mariendorf, Berlin",1.680 €,65 m²,"<span class=""onlyLarge"">3</span>"
"Karlshafener Straße 22, Mahlsdorf, Berlin",2.115 €,"120,7 m²","<span class=""onlyLarge"">5</span>"
"Grunewald, Berlin",4.550 €,"261,04 m²","<span class=""onlyLarge"">5</span>"
"Karlshafener Straße 22, Mahlsdorf, Berlin",1.180 €,60 m²,"<span class=""onlyLarge"">2,5</span>"
"Schöneberg, Berlin",2.400 €,"162,45 m²","<span class=""onlyLarge"">5</span>"
"Lydia-Rabinowitsch-Str. 14, Moabit, Berlin",1.780 €,50 m²,"<span class=""onlyLarge"">2</span>"
